variant,geometry,score,seed,representation_epochs,head_epochs,linear_epochs,calibration_recall_targets,primary_recall,robustness_images
mean_linear,none,linear,42,0,0,30,,0.9,256
mean_linear,none,linear,123,0,0,30,,0.9,256
mean_linear,none,linear,2026,0,0,30,,0.9,256
independent,none,none,42,12,15,0,.80;.90;.95;.98,0.9,256
independent,none,none,123,12,15,0,.80;.90;.95;.98,0.9,256
independent,none,none,2026,12,15,0,.80;.90;.95;.98,0.9,256
posthoc_soft,none,soft,42,12,0,0,.80;.90;.95;.98,0.9,256
posthoc_soft,none,soft,123,12,0,0,.80;.90;.95;.98,0.9,256
posthoc_soft,none,soft,2026,12,0,0,.80;.90;.95;.98,0.9,256
staged_soft,none,soft,42,12,15,0,.80;.90;.95;.98,0.9,256
staged_soft,none,soft,123,12,15,0,.80;.90;.95;.98,0.9,256
staged_soft,none,soft,2026,12,15,0,.80;.90;.95;.98,0.9,256
staged_normalized,none,normalized,42,12,15,0,.80;.90;.95;.98,0.9,256
staged_normalized,none,normalized,123,12,15,0,.80;.90;.95;.98,0.9,256
staged_normalized,none,normalized,2026,12,15,0,.80;.90;.95;.98,0.9,256
graph_ungated,anatomy,none,42,12,15,0,.80;.90;.95;.98,0.9,256
graph_ungated,anatomy,none,123,12,15,0,.80;.90;.95;.98,0.9,256
graph_ungated,anatomy,none,2026,12,15,0,.80;.90;.95;.98,0.9,256
graph_normalized,anatomy,normalized,42,12,15,0,.80;.90;.95;.98,0.9,256
graph_normalized,anatomy,normalized,123,12,15,0,.80;.90;.95;.98,0.9,256
graph_normalized,anatomy,normalized,2026,12,15,0,.80;.90;.95;.98,0.9,256
single_graph_normalized,single,normalized,42,12,15,0,.80;.90;.95;.98,0.9,256
single_graph_normalized,single,normalized,123,12,15,0,.80;.90;.95;.98,0.9,256
single_graph_normalized,single,normalized,2026,12,15,0,.80;.90;.95;.98,0.9,256
permuted_graph_normalized,permuted,normalized,42,12,15,0,.80;.90;.95;.98,0.9,256
permuted_graph_normalized,permuted,normalized,123,12,15,0,.80;.90;.95;.98,0.9,256
permuted_graph_normalized,permuted,normalized,2026,12,15,0,.80;.90;.95;.98,0.9,256
distance_graph_normalized,distance,normalized,42,12,15,0,.80;.90;.95;.98,0.9,256
distance_graph_normalized,distance,normalized,123,12,15,0,.80;.90;.95;.98,0.9,256
distance_graph_normalized,distance,normalized,2026,12,15,0,.80;.90;.95;.98,0.9,256
entropy_graph_normalized,entropy,normalized,42,12,15,0,.80;.90;.95;.98,0.9,256
entropy_graph_normalized,entropy,normalized,123,12,15,0,.80;.90;.95;.98,0.9,256
entropy_graph_normalized,entropy,normalized,2026,12,15,0,.80;.90;.95;.98,0.9,256
